id,question,answer_coordinates,answer_text,aggregation_labels
0,What spending category am I most consistent in from 1694910663 to 1703826706?,"[[38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,6
0,What spending category am I most inconsistent in from 1682764210 to 1703826706?,"[[15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What category am I least consistent in?,"[[15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What spending category am I most consistent in from 1682764210 to 1703826706?,"[[15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",clothing,6
0,What spending category am I most inconsistent in from 1683106368 to 1703826706?,"[[17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What category am I least consistent in?,"[[17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What spending category am I most consistent in from 1683106368 to 1703826706?,"[[17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",clothing,6
0,What spending category am I most inconsistent in from 1672164155 to 1703826706?,"[[0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",airlines,5
0,What category am I least consistent in?,"[[0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",airlines,5
0,What spending category am I most consistent in from 1672164155 to 1703826706?,"[[0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",clothing,6
0,What spending category am I most inconsistent in from 1701782129 to 1703826706?,"[[44, 3], [45, 3], [46, 3], [47, 3]]",agricultural,5
0,What category am I least consistent in?,"[[44, 3], [45, 3], [46, 3], [47, 3]]",agricultural,5
0,What spending category am I most consistent in from 1701782129 to 1703826706?,"[[44, 3], [45, 3], [46, 3], [47, 3]]",agricultural,6
0,What spending category am I most inconsistent in from 1682078216 to 1703826706?,"[[13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What category am I least consistent in?,"[[13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What spending category am I most consistent in from 1682078216 to 1703826706?,"[[13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",clothing,6
0,What spending category am I most inconsistent in from 1693464032 to 1703826706?,"[[34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",lodging,5
0,What category am I least consistent in?,"[[34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",lodging,5
0,What spending category am I most consistent in from 1693464032 to 1703826706?,"[[34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",government,6
0,What spending category am I most inconsistent in from 1694114652 to 1703826706?,"[[35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",lodging,5
0,What category am I least consistent in?,"[[35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",lodging,5
0,What spending category am I most consistent in from 1694114652 to 1703826706?,"[[35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",contracted,6
0,What spending category am I most inconsistent in from 1703401858 to 1703826706?,"[[45, 3], [46, 3], [47, 3]]",agricultural,5
0,What category am I least consistent in?,"[[45, 3], [46, 3], [47, 3]]",agricultural,5
0,What spending category am I most consistent in from 1703401858 to 1703826706?,"[[45, 3], [46, 3], [47, 3]]",agricultural,6
0,What spending category am I most inconsistent in from 1681339318 to 1703826706?,"[[11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What category am I least consistent in?,"[[11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",misc,5
0,What spending category am I most consistent in from 1681339318 to 1703826706?,"[[11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 3], [24, 3], [25, 3], [26, 3], [27, 3], [28, 3], [29, 3], [30, 3], [31, 3], [32, 3], [33, 3], [34, 3], [35, 3], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3]]",clothing,6
0,What is the total amount I've spent from 154 days ago to today?,"[[47, 1], [46, 1], [45, 1], [44, 1], [43, 1], [42, 1], [41, 1], [40, 1], [39, 1], [38, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1], [32, 1], [31, 1], [30, 1], [29, 1], [28, 1]]",2571.61,0
0,What is the total amount I've spent in agricultural from 154 days ago to today?,"[[46, 1], [43, 1]]",224.22,0
0,What is the total amount I've spent in contracted from 1690517506 to 1703826706?,"[[36, 1], [34, 1]]",152.73,0
0,What is the total amount I've spent in transportation from 1690517506 to 1703826706?,"[[29, 1]]",245.29,0
0,What is the total amount I've spent in utility from 1690517506 to 1703826706?,"[[45, 1], [39, 1], [38, 1], [37, 1]]",764.88,0
0,What is the total amount I've spent in retail from 154 days ago to today?,"[[44, 1], [31, 1], [30, 1]]",305.32,0
0,What is the total amount I've spent in clothing from 1690517506 to 1703826706?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc from 154 days ago to today?,"[[42, 1]]",25.53,0
0,What is the total amount I've spent in business from 154 days ago to today?,"[[32, 1]]",83.16,0
0,What is the total amount I've spent in government from 154 days ago to today?,"[[35, 1], [28, 1]]",315.47,0
0,What is the total amount I've spent in lodging from 1690517506 to 1703826706?,"[[47, 1], [41, 1], [40, 1]]",408.7,0
0,What is the total amount I've spent from 1685333506 to 1703826706?,"[[47, 1], [46, 1], [45, 1], [44, 1], [43, 1], [42, 1], [41, 1], [40, 1], [39, 1], [38, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1], [32, 1], [31, 1], [30, 1], [29, 1], [28, 1], [27, 1], [26, 1], [25, 1], [24, 1], [23, 1], [22, 1], [21, 1]]",3660.32,0
0,What is the total amount I've spent in agricultural from 214 days ago to today?,"[[46, 1], [43, 1], [21, 1]]",473.93,0
0,What is the total amount I've spent in contracted from 214 days ago to today?,"[[36, 1], [34, 1]]",152.73,0
0,What is the total amount I've spent in transportation from 214 days ago to today?,"[[29, 1], [25, 1]]",412.04,0
0,What is the total amount I've spent in utility from 214 days ago to today?,"[[45, 1], [39, 1], [38, 1], [37, 1]]",764.88,0
0,What is the total amount I've spent in retail from 1685333506 to 1703826706?,"[[44, 1], [31, 1], [30, 1]]",305.32,0
0,What is the total amount I've spent in clothing from 214 days ago to today?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc from 214 days ago to today?,"[[42, 1], [22, 1]]",266.1,0
0,What is the total amount I've spent in business from 214 days ago to today?,"[[32, 1], [26, 1]]",258.38,0
0,What is the total amount I've spent in government from 1685333506 to 1703826706?,"[[35, 1], [28, 1], [24, 1]]",389.12,0
0,What is the total amount I've spent in airlines from 214 days ago to today?,"[[27, 1], [23, 1]]",182.81,0
0,What is the total amount I've spent in lodging from 214 days ago to today?,"[[47, 1], [41, 1], [40, 1]]",408.7,0
0,What is the total amount I've spent from 1681272706 to 1703826706?,"[[47, 1], [46, 1], [45, 1], [44, 1], [43, 1], [42, 1], [41, 1], [40, 1], [39, 1], [38, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1], [32, 1], [31, 1], [30, 1], [29, 1], [28, 1], [27, 1], [26, 1], [25, 1], [24, 1], [23, 1], [22, 1], [21, 1], [20, 1], [19, 1], [18, 1], [17, 1], [16, 1], [15, 1], [14, 1], [13, 1], [12, 1], [11, 1]]",4684.25,0
0,What is the total amount I've spent in agricultural from 1681272706 to 1703826706?,"[[46, 1], [43, 1], [21, 1], [13, 1]]",563.41,0
0,What is the total amount I've spent in contracted from 1681272706 to 1703826706?,"[[36, 1], [34, 1], [18, 1], [16, 1], [15, 1], [11, 1]]",790.41,0
0,What is the total amount I've spent in transportation from 1681272706 to 1703826706?,"[[29, 1], [25, 1]]",412.04,0
0,What is the total amount I've spent in utility from 261 days ago to today?,"[[45, 1], [39, 1], [38, 1], [37, 1], [12, 1]]",780.2,0
0,What is the total amount I've spent in retail from 261 days ago to today?,"[[44, 1], [31, 1], [30, 1], [19, 1]]",507.14,0
0,What is the total amount I've spent in clothing from 261 days ago to today?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc from 1681272706 to 1703826706?,"[[42, 1], [22, 1]]",266.1,0
0,What is the total amount I've spent in business from 1681272706 to 1703826706?,"[[32, 1], [26, 1]]",258.38,0
0,What is the total amount I've spent in government from 1681272706 to 1703826706?,"[[35, 1], [28, 1], [24, 1], [20, 1], [17, 1]]",461.24,0
0,What is the total amount I've spent in airlines from 1681272706 to 1703826706?,"[[27, 1], [23, 1], [14, 1]]",190.32,0
0,What is the total amount I've spent in lodging from 1681272706 to 1703826706?,"[[47, 1], [41, 1], [40, 1]]",408.7,0
0,What is the total amount I've spent from 268 days ago to today?,"[[47, 1], [46, 1], [45, 1], [44, 1], [43, 1], [42, 1], [41, 1], [40, 1], [39, 1], [38, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1], [32, 1], [31, 1], [30, 1], [29, 1], [28, 1], [27, 1], [26, 1], [25, 1], [24, 1], [23, 1], [22, 1], [21, 1], [20, 1], [19, 1], [18, 1], [17, 1], [16, 1], [15, 1], [14, 1], [13, 1], [12, 1], [11, 1]]",4684.25,0
0,What is the total amount I've spent in agricultural from 268 days ago to today?,"[[46, 1], [43, 1], [21, 1], [13, 1]]",563.41,0
0,What is the total amount I've spent in contracted from 1680667906 to 1703826706?,"[[36, 1], [34, 1], [18, 1], [16, 1], [15, 1], [11, 1]]",790.41,0
0,What is the total amount I've spent in transportation from 1680667906 to 1703826706?,"[[29, 1], [25, 1]]",412.04,0
0,What is the total amount I've spent in utility from 1680667906 to 1703826706?,"[[45, 1], [39, 1], [38, 1], [37, 1], [12, 1]]",780.2,0
0,What is the total amount I've spent in retail from 1680667906 to 1703826706?,"[[44, 1], [31, 1], [30, 1], [19, 1]]",507.14,0
0,What is the total amount I've spent in clothing from 268 days ago to today?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc from 1680667906 to 1703826706?,"[[42, 1], [22, 1]]",266.1,0
0,What is the total amount I've spent in business from 268 days ago to today?,"[[32, 1], [26, 1]]",258.38,0
0,What is the total amount I've spent in government from 268 days ago to today?,"[[35, 1], [28, 1], [24, 1], [20, 1], [17, 1]]",461.24,0
0,What is the total amount I've spent in airlines from 268 days ago to today?,"[[27, 1], [23, 1], [14, 1]]",190.32,0
0,What is the total amount I've spent in lodging from 1680667906 to 1703826706?,"[[47, 1], [41, 1], [40, 1]]",408.7,0
0,"In the last 276 days, how much did I spend in total?","[[47, 1], [46, 1], [45, 1], [44, 1], [43, 1], [42, 1], [41, 1], [40, 1], [39, 1], [38, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1], [32, 1], [31, 1], [30, 1], [29, 1], [28, 1], [27, 1], [26, 1], [25, 1], [24, 1], [23, 1], [22, 1], [21, 1], [20, 1], [19, 1], [18, 1], [17, 1], [16, 1], [15, 1], [14, 1], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1]]",4771.24,0
0,What is the total amount I've spent in agricultural from 1679976706 to 1703826706?,"[[46, 1], [43, 1], [21, 1], [13, 1]]",563.41,0
0,What is the total amount I've spent in contracted from 276 days ago to today?,"[[36, 1], [34, 1], [18, 1], [16, 1], [15, 1], [11, 1]]",790.41,0
0,What is the total amount I've spent in transportation from 276 days ago to today?,"[[29, 1], [25, 1]]",412.04,0
0,What is the total amount I've spent in utility from 276 days ago to today?,"[[45, 1], [39, 1], [38, 1], [37, 1], [12, 1]]",780.2,0
0,What is the total amount I've spent in retail from 1679976706 to 1703826706?,"[[44, 1], [31, 1], [30, 1], [19, 1], [9, 1]]",540.46,0
0,What is the total amount I've spent in clothing from 276 days ago to today?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc from 1679976706 to 1703826706?,"[[42, 1], [22, 1]]",266.1,0
0,What is the total amount I've spent in business from 276 days ago to today?,"[[32, 1], [26, 1]]",258.38,0
0,What is the total amount I've spent in government from 1679976706 to 1703826706?,"[[35, 1], [28, 1], [24, 1], [20, 1], [17, 1]]",461.24,0
0,What is the total amount I've spent in airlines from 1679976706 to 1703826706?,"[[27, 1], [23, 1], [14, 1]]",190.32,0
0,What is the total amount I've spent in lodging from 276 days ago to today?,"[[47, 1], [41, 1], [40, 1]]",408.7,0
0,What is the total amount I've spent in professional from 276 days ago to today?,"[[10, 1]]",53.67,0
0,What is the total amount I've spent in agricultural?,"[[6, 1], [13, 1], [21, 1], [43, 1], [46, 1]]",809.05,0
0,What is the total amount I've spent in contracted?,"[[7, 1], [11, 1], [15, 1], [16, 1], [18, 1], [34, 1], [36, 1]]",1025.78,0
0,What is the total amount I've spent in transportation?,"[[25, 1], [29, 1]]",412.04,0
0,What is the total amount I've spent in utility?,"[[5, 1], [12, 1], [37, 1], [38, 1], [39, 1], [45, 1]]",972.54,0
0,What is the total amount I've spent in retail?,"[[2, 1], [9, 1], [19, 1], [30, 1], [31, 1], [44, 1]]",720.7,0
0,What is the total amount I've spent in clothing?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent in misc?,"[[3, 1], [4, 1], [22, 1], [42, 1]]",358.47,0
0,What is the total amount I've spent in business?,"[[26, 1], [32, 1]]",258.38,0
0,What is the total amount I've spent in government?,"[[8, 1], [17, 1], [20, 1], [24, 1], [28, 1], [35, 1]]",609.67,0
0,What is the total amount I've spent in airlines?,"[[0, 1], [14, 1], [23, 1], [27, 1]]",431.37,0
0,What is the total amount I've spent in lodging?,"[[1, 1], [40, 1], [41, 1], [47, 1]]",567.99,0
0,What is the total amount I've spent in professional?,"[[10, 1]]",53.67,0
0,What is the total amount I've spent at Cruz-Anderson?,"[[0, 1]]",241.05,0
0,What is the total amount I've spent at Hancock-Vargas?,"[[1, 1]]",159.29,0
0,"What is the total amount I've spent at Greer, Grant and Dyer?","[[2, 1]]",180.24,0
0,What is the total amount I've spent at Lewis-Hansen?,"[[3, 1]]",62.4,0
0,What is the total amount I've spent at Shaw-Graves?,"[[4, 1]]",29.97,0
0,"What is the total amount I've spent at Lutz, Carter and Shea?","[[5, 1]]",192.34,0
0,"What is the total amount I've spent at Simmons, Jensen and Huerta?","[[6, 1]]",245.64,0
0,What is the total amount I've spent at Mejia Inc?,"[[7, 1]]",235.37,0
0,What is the total amount I've spent at Rose-Brown?,"[[8, 1]]",148.43,0
0,What is the total amount I've spent at Barber LLC?,"[[9, 1]]",33.32,0
0,"What is the total amount I've spent at Jackson, Green and Jones?","[[10, 1]]",53.67,0
0,What is the total amount I've spent at Howard-Stanley?,"[[11, 1], [15, 1]]",262.71,0
0,"What is the total amount I've spent at Wagner, Blanchard and Cox?","[[12, 1]]",15.32,0
0,What is the total amount I've spent at Mcdaniel LLC?,"[[13, 1]]",89.48,0
0,"What is the total amount I've spent at Jones, Franco and Tucker?","[[14, 1]]",7.51,0
0,"What is the total amount I've spent at Wright, Gardner and Mason?","[[16, 1]]",170.13,0
0,"What is the total amount I've spent at Jarvis, Taylor and Evans?","[[17, 1]]",8.88,0
0,What is the total amount I've spent at Matthews-Tucker?,"[[18, 1]]",204.84,0
0,"What is the total amount I've spent at Phillips, Adams and Bullock?","[[19, 1]]",201.82,0
0,What is the total amount I've spent at Mitchell PLC?,"[[20, 1]]",63.24,0
0,What is the total amount I've spent at Johnson Group?,"[[21, 1]]",249.71,0
0,"What is the total amount I've spent at Henry, Marshall and Lee?","[[22, 1]]",240.57,0
0,"What is the total amount I've spent at Tucker, Patterson and Newton?","[[23, 1]]",25.52,0
0,"What is the total amount I've spent at Young, Mullen and Edwards?","[[24, 1]]",73.65,0
0,What is the total amount I've spent at Reyes-Wolfe?,"[[25, 1]]",166.75,0
0,What is the total amount I've spent at Scott-Boone?,"[[26, 1]]",175.22,0
0,"What is the total amount I've spent at Holmes, Blanchard and Carlson?","[[27, 1]]",157.29,0
0,What is the total amount I've spent at Rose-Moore?,"[[28, 1]]",245.75,0
0,What is the total amount I've spent at Cross-Martin?,"[[29, 1]]",245.29,0
0,What is the total amount I've spent at Gamble LLC?,"[[30, 1]]",196.62,0
0,What is the total amount I've spent at Holloway-Williams?,"[[31, 1]]",58.48,0
0,"What is the total amount I've spent at Cooper, Hayes and Olson?","[[32, 1]]",83.16,0
0,What is the total amount I've spent at Green-Lester?,"[[33, 1]]",46.31,0
0,What is the total amount I've spent at Webb-Anderson?,"[[34, 1]]",116.17,0
0,"What is the total amount I've spent at Mendoza, Smith and Gregory?","[[35, 1]]",69.72,0
0,What is the total amount I've spent at Davis Group?,"[[36, 1]]",36.56,0
0,What is the total amount I've spent at Bradley and Sons?,"[[37, 1]]",235.1,0
0,"What is the total amount I've spent at Norman, Jenkins and Cortez?","[[38, 1]]",115.98,0
0,What is the total amount I've spent at Garrett-Rodriguez?,"[[39, 1]]",182.12,0
0,What is the total amount I've spent at Robbins-Marshall?,"[[40, 1]]",246.35,0
0,"What is the total amount I've spent at Hodges, Harris and Jackson?","[[41, 1]]",135.11,0
0,What is the total amount I've spent at Gallegos-Walsh?,"[[42, 1]]",25.53,0
0,What is the total amount I've spent at Miller-Flores?,"[[43, 1]]",134.95,0
0,What is the total amount I've spent at Fox Inc?,"[[44, 1]]",50.22,0
0,"What is the total amount I've spent at Phillips, Hebert and Smith?","[[45, 1]]",231.68,0
0,What is the total amount I've spent at Rodriguez PLC?,"[[46, 1]]",89.27,0
0,What is the total amount I've spent at Bauer-Bennett?,"[[47, 1]]",27.24,0
